open_time,close_time,symbol,action,lots,sl,tp,open_price,close_price,pips,profit,Duration (DD:HH:MM:SS),change_pct,trade_id,aligned_candle_idx,timestamp,aligned_candle_timestamp
2022-02-03 01:17:00+00:00,2022-02-03 02:10:00+00:00,XAUUSD,Buy,0.26,1938.8,0.0,1932.21,1938.8,659.0,170.17,00:00:53:00,4.43,925,1236235,2022-02-03 01:15:00+00:00,2022-02-03 01:15:00+00:00
2022-02-03 15:38:00+00:00,2022-02-03 15:41:00+00:00,XAUUSD,Buy,0.27,1924.39,0.0,1925.89,1924.39,-150.0,-41.72,00:00:03:00,-1.04,924,1236407,2022-02-03 15:35:00+00:00,2022-02-03 15:35:00+00:00
2022-02-08 14:26:00+00:00,2022-02-08 14:38:00+00:00,XAUUSD,Buy,0.35,1781.3,0.0,1776.82,1781.3,448.0,155.22,00:00:12:00,2.92,870,1237221,2022-02-08 14:25:00+00:00,2022-02-08 14:25:00+00:00
2022-02-08 19:13:00+00:00,2022-02-08 19:54:00+00:00,XAUUSD,Buy,0.36,1766.22,0.0,1767.72,1766.22,-150.0,-55.62,00:00:41:00,-1.02,869,1237278,2022-02-08 19:10:00+00:00,2022-02-08 19:10:00+00:00
2022-02-11 14:52:00+00:00,2022-02-11 15:10:00+00:00,XAUUSD,Buy,0.38,1647.24,0.0,1648.74,1647.24,-150.0,-58.71,00:00:18:00,-1.04,843,1238042,2022-02-11 14:50:00+00:00,2022-02-11 14:50:00+00:00
2022-02-11 19:24:00+00:00,2022-02-11 19:24:00+00:00,XAUUSD,Buy,0.37,1637.36,0.0,1638.86,1637.36,-150.0,-57.17,00:00:00:00,-1.02,842,1238096,2022-02-11 19:20:00+00:00,2022-02-11 19:20:00+00:00
2022-02-11 19:26:00+00:00,2022-02-11 19:30:00+00:00,XAUUSD,Buy,0.37,1638.5,0.0,1637.54,1638.5,96.0,33.85,00:00:04:00,0.61,841,1238097,2022-02-11 19:25:00+00:00,2022-02-11 19:25:00+00:00
2022-03-01 13:27:00+00:00,2022-03-01 13:31:00+00:00,XAUUSD,Buy,0.26,1810.98,0.0,1812.48,1810.98,-150.0,-40.17,00:00:04:00,-1.02,936,1241307,2022-03-01 13:25:00+00:00,2022-03-01 13:25:00+00:00
2022-03-06 16:51:00+00:00,2022-03-06 17:01:00+00:00,XAUUSD,Buy,0.36,1850.91,0.0,1852.41,1850.91,-150.0,-55.62,00:00:10:00,-1.03,883,1242237,2022-03-04 21:55:00+00:00,2022-03-04 21:55:00+00:00
2022-03-06 17:22:00+00:00,2022-03-06 18:27:00+00:00,XAUUSD,Buy,0.36,1848.12,0.0,1849.62,1848.12,-150.0,-55.62,00:01:05:00,-1.04,882,1242237,2022-03-04 21:55:00+00:00,2022-03-04 21:55:00+00:00
